Bogen;"Segmentierte Handschrift";"Segmentierte Handschrift";"Ich stimme der Datenverarbeitung sowie der Datenweitergabe für Lehrforschungszwecke und die Verbesserung der Lehre an der Medizinischen Fakultät der Universität Ulm zu.";"Q9-Skripte, digitale Nutzung";"Q9-Skripte, Papierdruck";"Lehrbuch/-bücher Wenn ja, welches Lehrbuch nutzen Sie primär? ____________________________________________";"Leitlinien der Fachgesellschaften (im Original)";"Anki-Lernkarten (bereitgestellt durch Institut für klin. Pharmakologie)";"Anki-Lernkarten (selbst oder anderweitig erstellt)";"Aufgaben/Patientenfälle auf Moodle";"Testfragen auf Moodle";"andere: ____________________________________________";"2. Wie kann Ihre grundsätzliche Haltung gegenüber E-Learning-Angeboten beschrieben werden?";"Lernskripte";"zeitunabhängig angebotene Vorlesungs- und Seminarvideos";"Online-Live-Veranstaltungen an bestimmten Terminen (z.B. über Zoom)";"Präsenzveranstaltungen an bestimmten Terminen";"Aufgaben zur eigenständigen Bearbeitung (mit Lösung)";"Testfragen zu den Lerninhalten";"Anki-Lernkarten (bereitgestellt durch Institut für klinische Pharmakologie)";"Anki-Lernkarten (selbst oder anderweitig erstellt)";"alle sind gleich nützlich";"4. Welche Form der Lehre würden Sie in Zukunft bevorzugen?";"5. Haben Sie die Anki-Lernkarten Klinische Pharmakologie genutzt?";"6. Haben Sie die Anki-Lernkarten als Lernmaterial als hilfreich empfunden?";"7. In welchem Umfang haben Sie die Anki-Lernkarten verwendet?";"Installation des Programms(Zeit in Stunden):                                       ";"Einarbeiten/Lesen der Bedienungsanleitung (Zeit in Stunden):";"Lernen mit Anki-Lernkarten (durchschnittliche Stunden pro Woche, innerhalb der letzten 6 Monate):";"semesterbegleitend ";"zur Prüfungsvorbereitung";"in speziellen Situationen, z.B. im Bus/Zug";"Sonstiges: ____________________";"PC";"Laptop";"Tablet";"Handy";"Ich hatte nicht ausreichend Zeit dazu. ";"Die Lernkarten haben mich nicht interessiert.";"Das bestehende Angebot an Lehrmaterialien war für mich ausreichend.";"Die Installation der Software und/oder die Auseinandersetzung mit der Bedienungsanleitung waren mir zu aufwändig.";"Ich wusste nicht, dass es die Lernkarten gibt.";"Ich nutze eigene Lernkarten.";"Sonstige Gründe: ______________________________________";"12. Sollten Ihrer Meinung nach Anki-Lernkarten in Zukunft weiter angeboten werden?";"13. Haben Sie Anmerkungen zu den Anki-Lernkarten? Haben Sie Anmerkungen zum Q9-Unterricht?";"14. Wie schätzen Sie Ihre Studienleistung  insgesamt im Vergleich zu anderen Studierenden Ihres Semesters ein?";"15. Wie schätzen Sie Ihre Studienleistung  im Fach Klinische Pharmakologie im Vergleich zu anderen Studierenden Ihres Semesters ein?";"Nein, nicht wesentlich.";"Ja, ich habe seitdem weniger Zeit mit studienbezogenen Tätigkeiten (z.B. Lernen) verbracht als zuvor.";"Ja, ich habe seitdem mehr Zeit mit studienbezogenen Tätigkeiten (z.B. Lernen) verbracht als zuvor.";"Ja, ich verwende seitdem mehr E-Learning-Tools als vorher.";"Ja, ich lerne seitdem weniger gemeinsam mit Kommilitonen/in Lerngruppen als vorher.";"Ja, ich lerne seitdem mehr gemeinsam mit Kommilitonen/in Lerngruppen als vorher.";"Sonstige Veränderungen: ______________________________________";"Wie alt sind Sie (in Jahren)?";"Bitte geben Sie Ihr Geschlecht an:";Datensatz-Ursprung
78;"AN   06";"SE   20";1;1;0;1;1;1;1;1;1;0;1;1;1;0;0;1;1;1;1;0;3;1;1;2;"OIO";"O,4";"^IO";1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;1;"[LEER]";2;2;0;0;0;1;1;0;0;"";2;"P"
79;"KI   06";"TH   25";1;1;0;0;0;1;1;0;1;0;1;1;0;0;1;1;0;1;1;0;2;1;1;1;"";"";"Z5";0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;"[LEER]";4;4;1;0;0;0;0;0;0;"ZS";2;"P"
80;"EN   28";"ER   26";1;1;0;0;0;0;1;0;1;0;1;1;1;0;0;0;1;0;1;0;1;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;"[LEER]";3;3;0;0;1;1;1;0;0;"Z4";1;"P"
81;"MO   11";"MA   20";1;1;0;0;1;1;0;1;1;1;1;1;1;0;0;1;1;1;0;0;1;1;1;2;"OI5";"OOO";"OO1";0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;"[LEER]";3;3;1;0;0;0;0;0;0;"Z4";1;"P"
82;"JR   28";"MA   23";1;0;1;0;0;1;0;1;1;0;1;1;1;0;0;1;1;1;0;0;3;1;1;2;"OO^";"OO1";"OOZ";0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;0;0;1;0;0;"Z1";1;"P"
83;"DA   03";"MI   30";1;1;1;0;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;3;1;1;2;"O";"O";"1";1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;1;1;1;0;0;"ZZ";1;"P"
84;"KA   12";"MA   06";1;1;0;0;0;1;0;0;1;0;1;1;0;0;0;1;1;0;0;0;2;1;1;2;"1";"0,5";"";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;"[LEER]";4;4;0;0;0;1;0;0;0;"ZZ";1;"P"
85;"JO   20";"MI   28";1;1;1;0;1;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;3;;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;"[LEER]";3;2;0;0;0;0;0;0;0;"Z4";2;"P"
86;"YE   26";"ME   01";1;1;1;0;0;1;1;0;1;0;1;1;0;0;0;1;1;1;1;0;3;1;1;1;"OOO";"OOO";"015";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;"[LEER]";3;3;1;0;0;0;0;0;0;"Z4";1;"P"
87;"CL   28";"FR   01";1;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;1;0;3;1;2;1;"O";"O";"15";0;1;0;0;1;0;0;1;1;0;0;0;0;1;0;1;"[LEER]";2;2;1;0;0;0;0;0;0;"ZO";2;"P"
88;"SA   11";"WO   14";1;0;1;0;0;0;0;1;1;1;1;1;1;0;0;0;1;0;0;0;2;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;"[LEER]";3;2;0;1;0;0;1;0;0;"ZZ";1;"P"
89;"TA   06";"GE   14";1;1;0;0;0;1;1;1;1;0;1;1;0;0;1;1;0;1;1;0;3;1;1;1;"O";"O";"Z";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;"[LEER]";4;3;0;0;1;1;0;0;0;"23";2;"P"
90;"SA   06";"PI   15";1;1;0;0;0;0;1;0;1;0;1;1;1;0;0;0;1;1;1;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;"[LEER]";3;4;0;0;1;0;1;0;0;"ZZ";2;"P"
91;"EL   09";"GO   30";1;0;1;0;0;1;1;0;1;0;1;1;1;0;1;1;1;1;1;0;3;1;1;1;"^";"O";"006";0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;1;0;0;0;0;"Z4";1;"P"
92;"AN   30";"GU   20";1;1;1;0;0;0;1;1;1;0;1;1;1;0;0;1;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;"[LEER]";3;3;1;0;0;0;0;0;0;"Z1";2;"P"
93;"TH   10";"IG   24";1;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;1;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;"[LEER]";3;3;0;0;0;1;0;0;0;"ZZ";1;"P"
94;"CA   16";"WA   21";1;1;0;0;0;1;1;1;1;0;1;1;0;0;0;0;0;1;1;0;1;1;1;1;"1";"1";"15";0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;1;"[LEER]";4;3;0;0;1;0;0;0;0;"ZJ";2;"P"
95;"GE   02";"FR   02";1;1;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"[LEER]";3;3;1;0;0;0;0;0;0;"";1;"P"
96;"RE   03";"PE   11";1;1;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0;1;1;0;3;1;1;1;"OO^";"OO^";"OZO";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;"[LEER]";4;3;0;0;1;0;0;0;0;"ZZ";2;"P"
97;"MA   11";"JO   23";1;1;0;0;1;1;1;1;1;0;2;1;1;0;1;1;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;"[LEER]";4;3;0;0;1;0;1;0;0;"Z1";1;"P"
98;"GI   16";"PE   01";1;0;0;0;0;0;0;0;1;0;2;0;1;1;1;0;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"[LEER]";3;;0;0;0;0;0;0;0;"ZZ";1;"P"
99;"DA   06";"GU   15";1;0;1;1;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;2;1;1;1;"O";"O";"Z";1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;"[LEER]";4;4;0;0;0;0;0;1;0;"Z1";1;"P"
100;"KE   11";"MA   21";1;1;0;0;0;1;1;0;1;1;1;1;0;0;0;1;1;1;0;0;3;1;1;2;"0,5";"O";"ZO";0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;1;0;0;1;0;"Z6";1;"P"
101;"TA   18";"MA   22";1;1;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;"[LEER]";4;4;1;0;0;0;0;0;1;"ZZ";1;"P"
102;"MA   16";"HE   04";1;1;0;0;0;1;0;0;1;1;1;1;0;0;0;1;1;1;0;0;3;1;1;2;"OI^";"OI1";"1";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;0;1;0;0;0;"ZZ";1;"P"
103;"JU   27";"RU   21";1;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;1;1;0;0;3;1;1;1;"O";"O";"^";0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;"[LEER]";1;1;0;1;0;0;1;0;0;"Z6";1;"P"
104;"PE   03";"LU   29";1;1;0;0;0;1;0;0;1;0;1;1;1;0;0;1;1;0;0;0;1;1;1;3;"OIZ";"O\1";"Z";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;"[LEER]";2;2;0;0;0;1;0;0;0;"L4";1;"P"
105;"KE   15";"AL   13";1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;"[LEER]";5;5;1;0;0;0;0;0;0;"ZZ";1;"P"
106;"CL   31";"RE   26";1;1;0;0;0;1;0;0;1;0;1;1;0;0;0;0;1;1;0;0;2;1;1;1;"OOO";"OOO";"O15";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;"[LEER]";2;2;1;0;0;0;0;0;0;"ZZ";1;"P"
107;"IR   20";"AN   05";1;1;0;1;0;0;0;1;1;1;1;1;0;0;0;1;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;"[LEER]";3;3;1;0;0;0;0;0;0;"ZZ";1;"P"
108;"TH   06";"WI   09";;1;0;0;0;0;1;1;1;0;1;1;1;0;0;0;1;1;1;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;"[LEER]";2;2;1;0;0;1;0;0;0;"ZZ";1;"P"
109;"VO   11";"WI   03";1;1;0;0;0;0;0;1;1;1;1;1;1;0;0;0;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;"[LEER]";3;4;0;0;0;0;0;0;0;"ZZ";2;"P"
110;"UL   05";"JU   15";1;1;0;0;0;0;0;0;1;1;1;1;0;0;1;0;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;"[LEER]";4;3;0;0;0;1;0;0;0;"ZZ";2;"P"
111;"ST   27";"KL   12";1;1;0;0;0;0;0;1;1;0;1;1;0;0;0;1;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;"[LEER]";3;2;0;0;1;1;1;0;0;"ZZ";1;"P"
112;"SI   14";"TH   25";1;1;0;0;1;0;1;1;1;0;1;1;0;0;0;0;0;0;1;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;"[LEER]";3;3;0;0;0;1;0;0;0;"ZZ";2;"P"
113;"NA   25";"MO   11";1;1;0;0;0;1;0;0;1;0;1;1;0;0;1;0;1;0;0;0;3;1;1;2;"";"";"";0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;"[LEER]";;;0;0;0;1;1;0;0;"Z1";1;"P"
114;"MO   30";"PE   14";1;1;0;1;0;0;1;0;0;0;1;0;1;0;0;1;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;"[LEER]";;;0;0;0;0;0;0;0;"";;"P"
115;"BI   10";"TA   10";1;1;0;0;1;1;0;1;1;0;1;1;0;0;0;1;1;1;0;0;3;1;1;1;"OZ";"O1";"OZ";1;0;1;0;0;1;1;1;0;0;0;0;0;0;0;;"[LEER]";3;3;0;0;1;0;1;0;0;"ZZ";1;"P"
116;"UT   17";"JO   14";1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;1;1;1;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;"[LEER]";3;3;0;0;0;1;0;1;0;"ZZ";1;"P"
117;"IN   04";"ZE   12";1;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;1;0;3;;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;"[LEER]";4;4;1;0;0;0;0;0;0;"Z4";2;"P"
118;"GA   31";"UW   01";;1;0;0;0;0;0;0;1;0;1;1;1;0;0;0;1;1;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;0;1;0;0;0;"Z8";2;"P"
119;"NI   11";"TH   28";1;1;0;1;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;3;1;1;2;"0";"O";"O";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;"[LEER]";4;3;1;0;0;0;0;0;0;"Z1";2;"P"
120;"AN   09";"RA   01";1;1;0;0;0;0;0;1;1;0;1;1;0;0;0;1;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;"[LEER]";3;3;1;0;0;0;0;0;0;"ZZ";2;"P"
121;"AN   18";"WA   27";1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;"[LEER]";3;3;1;0;0;0;0;0;0;"22";1;"P"
122;"RE   22";"MA   17";1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2;2;2;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"[LEER]";3;3;0;0;1;0;0;0;0;"Z6";2;"P"
123;"AN   23";"MA   07";1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;1;0;0;0;1;2;;;"";"";"";0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;"[LEER]";3;3;0;0;1;1;1;0;0;"Z4";2;"P"
124;"BE   05";"UW   20";1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;"[LEER]";3;3;1;0;0;0;0;0;0;"ZZ";1;"P"
125;"DA   08";"CL   18";1;1;0;1;0;1;0;0;1;1;1;1;1;0;0;1;0;1;0;0;1;1;1;1;"OOO";"OOO";"006";1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;1;1;0;1;0;"Z4";1;"P"
126;"BR   11";"OL   30";1;1;0;0;1;1;0;0;1;0;1;1;1;0;1;1;1;1;0;0;3;1;1;1;"OI1";"OI1";"OO4";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;"[LEER]";3;2;1;0;0;0;0;0;0;"Z8";2;"P"
127;"EM   20";"IB   08";1;1;0;0;0;1;0;1;1;0;2;0;0;0;0;1;1;0;0;0;3;1;2;3;"S";"S";"^U";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;"[LEER]";2;1;0;1;0;1;1;0;0;"JO";2;"P"
128;"ME   18";"MA   03";1;0;1;0;0;0;0;0;1;1;1;1;0;0;0;1;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;;"[LEER]";3;3;0;0;1;0;0;0;0;"ZZ";1;"P"
129;"MA   22";"WO   12";1;1;0;0;0;1;0;0;1;0;1;1;1;0;0;0;1;1;0;0;3;1;1;2;"OO1";"OD1";"";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;0;1;0;0;0;"Z5";1;"P"
130;"MA   27";"MA   12";1;1;0;0;1;0;0;1;1;0;1;1;1;0;0;1;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;"[LEER]";2;4;0;1;0;0;1;0;0;"Z9";2;"P"
131;"AM   10";"AH   10";;1;0;0;0;0;1;1;1;0;1;1;0;0;0;0;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;"[LEER]";2;3;0;1;0;0;0;0;0;"Z9";2;"P"
132;"RE   04";"WO   26";1;1;0;0;0;1;0;1;1;0;1;1;0;0;1;1;1;1;0;0;3;1;1;1;"DO1";"OOO";"002";0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;1;1;1;0;0;"Z4";2;"P"
133;"TZ   20";"ER   09";;1;0;0;0;0;1;0;1;0;1;1;0;0;1;0;1;0;1;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;"[LEER]";4;4;0;0;0;1;0;1;0;"ZZ";2;"P"
134;"BR   29";"AR   31";1;1;1;0;0;1;0;1;1;0;1;1;0;0;0;0;1;1;0;0;2;1;1;1;"OOO";"OOO";"OO^";0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;"[LEER]";3;3;1;0;0;0;0;0;0;"Z1";1;"P"
135;"PA   10";"RO   07";1;1;0;0;0;1;0;0;1;0;1;1;1;0;0;0;1;1;0;0;1;1;1;2;"1";"O";"^";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;"[LEER]";3;2;0;0;0;1;0;0;1;"Z8";1;"P"
136;"XX   99";"XX   99";1;1;0;0;1;0;0;0;1;0;1;1;0;0;1;1;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;"[LEER]";1;1;0;0;0;1;1;0;0;"Z6";1;"P"
137;"AN   22";"RA   30";;1;1;0;0;0;0;1;1;0;1;1;1;0;0;0;1;1;0;0;1;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;"[LEER]";5;2;1;0;0;0;0;0;0;"Z5";2;"P"
138;"BE   30";"MA   19";1;1;0;0;0;1;1;1;1;0;1;1;1;0;0;1;1;1;1;0;3;1;1;1;"1";"1";"1O";0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;"[LEER]";3;3;1;0;0;0;0;0;0;"Z1";1;"P"
139;"CL   20";"TH   01";1;1;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;"[LEER]";2;2;0;0;1;1;0;0;0;"ZZ";1;"P"
140;"BA   27";"KL   17";1;1;0;0;0;0;0;0;1;0;1;1;1;0;1;0;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;"[LEER]";3;3;0;0;1;1;0;0;0;"ZZ";1;"P"
141;"MA   29";"ST   21";1;1;0;0;0;0;0;0;0;1;1;1;1;0;0;1;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;"[LEER]";3;2;0;0;0;1;0;0;0;"ZZ";1;"P"
142;"XX   99";"XX   99";1;0;1;0;0;1;0;0;1;0;2;1;0;0;0;0;0;0;0;0;2;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;"[LEER]";2;1;1;0;0;0;0;0;0;"XX";;"P"
143;"OA   04";"DI   11";1;1;0;0;0;1;1;1;1;0;1;1;0;0;0;1;1;1;1;0;3;1;1;1;"0,5";"95";"5";0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;1;0;0;0;0;"ZZ";1;"P"
144;"AN   25";"TH   03";1;1;1;0;1;0;0;0;1;1;1;1;1;0;0;1;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;1;1;0;1;0;"Z4";1;"P"
145;"MA   02";"OT   14";1;1;0;0;1;1;0;0;1;0;1;1;0;1;0;0;1;1;0;0;1;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"[LEER]";;;0;0;0;1;0;0;0;"Z1";1;"P"
146;"JO   29";"CA   09";1;1;1;0;0;0;0;0;1;0;1;1;1;0;1;1;0;0;0;0;3;2;1;3;"OOO";"OOO";"OOO";1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;"[LEER]";3;3;0;0;1;0;0;0;0;"ZZ";1;"P"
147;"RI   12";"MA   24";1;1;0;1;0;0;0;1;1;0;1;1;1;0;0;1;1;0;1;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;"[LEER]";3;2;0;0;1;1;1;0;0;"Z1";1;"P"
148;"RE   12";"MI   01";1;1;0;0;0;0;1;1;1;0;1;1;1;0;0;0;1;0;1;0;1;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;"[LEER]";4;4;0;0;1;0;1;0;0;"Z4";1;"P"
149;"TI   17";"ST   01";1;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;1;0;0;0;3;1;;3;"";"";"";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;;"[LEER]";3;2;1;0;0;0;0;0;0;"ZZ";1;"P"
150;"PE   19";"KL   19";1;1;0;0;1;1;0;1;1;0;1;1;1;0;1;1;1;1;0;0;3;1;1;2;"1";"^";"4";1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;1;"[LEER]";3;2;1;0;0;0;0;0;0;"Z4";1;"P"
151;"SX   05";"ED   07";1;1;0;0;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;1;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;"[LEER]";4;3;0;0;0;1;0;0;0;"22";1;"P"
152;"DO   07";"ST   22";1;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;2;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;"[LEER]";4;2;1;0;0;0;0;0;0;"ZZ";1;"P"
153;"MA   05";"AN   06";;1;1;0;0;0;0;1;1;0;1;1;1;1;1;1;1;0;0;0;;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;"[LEER]";3;3;0;0;1;1;0;0;0;"ZZ";1;"P"
154;"GA   08";"GU   15";1;1;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;3;1;1;3;"0,5";"O";"Z";0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;"[LEER]";2;2;0;0;0;0;1;0;0;"ZZ";1;"P"
155;"AS   21";"RE   01";1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;1;1;0;1;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;"[LEER]";5;4;0;0;1;1;0;0;0;"ZZ";1;"P"
156;"CL   17";"AN   21";1;1;0;0;0;0;0;0;1;0;1;0;1;0;0;1;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"[LEER]";4;2;0;0;0;0;1;0;0;"ZZ";1;"P"
157;"AN   29";"BE   09";1;1;0;1;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;"[LEER]";3;4;0;0;1;0;1;0;0;"ZZ";1;"P"
158;"CL   13";"KO   06";1;1;0;0;0;1;0;1;1;0;1;1;0;0;0;1;1;0;0;0;3;1;1;1;"0,5";"^";"^O";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;1;1;0;1;0;"ZY";1;"P"
159;"JO   12";"KL   01";1;1;1;0;0;1;0;0;1;1;1;1;0;0;0;0;1;0;0;0;3;1;2;3;"1";"1";"6";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;"[LEER]";4;3;1;0;0;0;0;0;0;"30";2;"P"
160;"IS   99";"LO   25";1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;"[LEER]";2;2;0;1;0;0;1;0;0;"22";2;"P"
161;"AN   17";"WA   16";1;0;1;0;1;1;0;1;0;1;1;1;0;0;0;1;1;1;0;0;3;1;1;2;"O,5";"0,5";"Z";0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;0;1;0;1;0;"ZO";1;"P"
162;"IN   22";"KA   28";1;1;0;0;0;0;0;1;1;0;1;1;1;0;0;0;1;0;0;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;"[LEER]";3;3;0;0;0;0;0;0;0;"Z9";2;"P"
163;"SI   29";"AR   23";1;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;3;1;1;3;",25";",25";"001";1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;"[LEER]";2;2;0;0;0;1;0;0;0;"ZZ";2;"P"
164;"ES   21";"JO   29";1;1;0;0;0;1;0;1;1;1;1;1;1;0;1;1;1;1;1;0;3;1;1;1;"O";"O";"Z";1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;"[LEER]";3;3;0;0;1;0;0;0;0;"Z4";2;"P"
165;"AN   15";"HO   23";1;1;0;0;0;0;1;1;1;0;1;1;0;0;0;1;1;0;1;0;3;2;;;"";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;"[LEER]";3;3;0;0;0;1;0;1;0;"ZS";1;"P"
166;"HE   28";"UW   06";1;1;0;0;0;1;0;1;1;0;1;1;1;0;0;1;1;0;0;0;2;1;1;3;"O";"O";"1";0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;"[LEER]";2;1;0;1;0;1;0;0;0;"Z5";1;"P"
